Date and Time:                Wed Oct 22 09:28:57.045 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
813.55194	306
814.05444	329
814.55682	320
815.05927	317
815.56158	321
816.0639	318
816.56622	328
817.06842	311
817.57068	319
818.07281	321
818.57495	318
819.07709	302
819.57916	297
820.08118	302
820.58319	324
821.08514	328
821.5871	294
822.08899	330
822.59082	334
823.09265	323
823.59442	320
824.09619	327
824.5979	329
825.09955	308
825.6012	312
826.10278	315
826.60437	325
827.1059	337
827.60736	316
828.10883	337
828.61023	323
829.11163	316
829.61298	308
830.11432	314
830.61554	327
831.11682	286
831.61798	332
832.11914	340
832.6203	318
833.1214	329
833.62244	318
834.12347	323
834.62445	317
835.12537	300
835.62628	321
836.12714	316
836.62799	328
837.12878	318
837.62952	341
838.13025	324
838.63092	339
839.13153	341
839.63214	319
840.13275	317
840.63324	323
841.13373	305
841.63422	329
842.13464	313
842.63501	323
843.13538	322
843.63568	326
844.13593	312
844.63617	327
845.13635	305
845.63647	328
846.1366	327
846.63672	292
847.13672	312
847.63672	313
848.13672	316
848.6366	329
849.13647	339
849.63635	343
850.13617	339
850.63593	339
851.13568	290
851.63538	333
852.13501	317
852.63464	328
853.13422	334
853.63373	309
854.13324	305
854.63275	312
855.13214	326
855.63153	302
856.13086	336
856.63019	322
857.12946	334
857.62866	305
858.12787	326
858.62701	310
859.12616	317
859.62524	314
860.12427	335
860.62323	331
861.12219	304
861.62109	301
862.12	310
862.61884	331
863.11761	325
863.61639	329
864.11511	317
864.61377	326
865.11243	329
865.61102	316
866.10962	334
866.60809	335
867.10663	337
867.60504	333
868.10345	299
868.60181	311
869.10016	316
869.59839	315
870.09668	316
870.59485	334
871.09302	375
871.59113	386
872.08923	412
872.58728	390
873.08527	426
873.58325	432
874.08118	406
874.57904	426
875.0769	434
875.57465	443
876.07245	429
876.57013	446
877.06781	416
877.56549	424
878.06305	469
878.56061	467
879.05817	461
879.5556	443
880.05304	456
880.55042	427
881.04779	446
881.5451	461
882.04236	501
882.53961	468
883.0368	454
883.53394	468
884.03107	473
884.52808	469
885.02515	457
