Date and Time:                Sun Nov 2 14:17:43.175 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
730.70227	310
731.2099	320
731.71759	315
732.22522	301
732.73279	318
733.24036	315
733.74792	323
734.25543	308
734.76288	327
735.27032	315
735.77777	306
736.28516	317
736.79254	306
737.29987	298
737.80719	311
738.31445	339
738.82172	296
739.32892	314
739.83612	337
740.34326	306
740.8504	312
741.35748	301
741.86456	318
742.37164	345
742.87866	300
743.38562	317
743.89258	319
744.39954	323
744.90643	299
745.41327	314
745.9201	296
746.42694	293
746.93372	308
747.44049	312
747.9472	304
748.45386	305
748.96057	334
749.46716	308
749.97375	315
750.48035	308
750.98688	282
751.49341	326
751.99988	298
752.50635	332
753.01276	330
753.51917	302
754.02551	325
754.53186	296
755.03815	311
755.54443	311
756.05066	329
756.55688	309
757.06305	308
757.56921	327
758.07532	311
758.58142	300
759.08746	316
759.59351	312
760.09949	322
760.60547	317
761.11139	318
761.61725	305
762.12317	323
762.62897	307
763.13483	313
763.64056	307
764.1463	319
764.65204	309
765.15771	319
765.66339	312
766.16901	290
766.67462	320
767.18018	295
767.68567	319
768.19116	315
768.69666	312
769.20209	316
769.70746	313
770.21283	322
770.7182	301
771.22351	318
771.72876	328
772.23401	296
772.73926	313
773.24445	298
773.74957	300
774.2547	305
774.75977	315
775.26483	323
775.76984	303
776.27484	301
776.77979	316
777.28473	323
777.78961	304
778.29449	299
778.79932	282
779.30408	301
779.80884	309
780.3136	306
780.8183	326
781.32294	327
781.82758	305
782.33215	336
782.83673	318
783.34131	283
783.84576	305
784.35028	313
784.85468	315
785.35907	315
785.86346	316
786.3678	322
786.87213	315
787.3764	308
787.88062	315
788.38483	306
788.88898	326
789.39313	297
789.89722	308
790.40131	324
790.90533	303
791.40936	341
791.91333	312
792.4173	321
792.9212	321
793.42505	327
793.92889	306
794.43268	292
794.93646	300
795.44019	308
795.94391	300
796.44757	302
796.95123	329
797.45483	310
797.95837	322
798.46191	294
798.96539	334
799.46887	305
799.97235	325
800.47571	310
800.97906	316
801.48242	301
801.98572	314
802.48895	337
802.99219	325
803.49536	320
803.99854	307
804.50165	330
805.00476	311
805.50781	320
806.01086	316
806.51379	313
807.01678	309
807.51971	318
808.02258	320
808.52539	331
809.02826	320
809.53101	308
810.03375	321
810.53644	309
811.03912	303
811.54175	320
812.04437	347
812.54694	286
813.04944	318
813.55194	330
814.05444	315
814.55682	314
815.05927	297
815.56158	307
816.0639	329
816.56622	308
817.06842	313
817.57068	297
818.07281	327
818.57495	318
819.07709	299
819.57916	320
820.08118	321
820.58319	295
821.08514	335
821.5871	322
822.08899	328
822.59082	308
823.09265	305
823.59442	315
824.09619	298
824.5979	325
825.09955	314
825.6012	315
826.10278	324
826.60437	322
827.1059	331
827.60736	312
828.10883	304
828.61023	303
829.11163	313
829.61298	315
830.11432	327
830.61554	319
831.11682	300
831.61798	304
832.11914	313
832.6203	320
833.1214	317
833.62244	308
834.12347	304
834.62445	296
835.12537	289
835.62628	309
836.12714	313
836.62799	308
837.12878	336
837.62952	318
838.13025	312
838.63092	306
839.13153	325
839.63214	299
840.13275	319
840.63324	337
841.13373	307
841.63422	308
842.13464	326
842.63501	315
843.13538	315
843.63568	319
844.13593	320
844.63617	310
845.13635	316
845.63647	295
846.1366	326
846.63672	311
847.13672	322
847.63672	318
848.13672	315
848.6366	321
849.13647	323
849.63635	296
850.13617	311
850.63593	322
851.13568	336
851.63538	311
852.13501	318
852.63464	307
853.13422	330
853.63373	313
854.13324	315
854.63275	328
855.13214	309
855.63153	318
856.13086	305
856.63019	313
857.12946	321
857.62866	303
858.12787	327
858.62701	325
859.12616	301
859.62524	315
860.12427	314
860.62323	317
861.12219	301
861.62109	316
862.12	306
862.61884	305
863.11761	303
863.61639	314
864.11511	309
864.61377	307
865.11243	320
865.61102	329
866.10962	337
866.60809	327
867.10663	294
